"Date","Price","Open","High","Low","Change %"
"Jan 04, 2018","1.3553","1.3515","1.3562","1.3505","0.27%"
"Jan 03, 2018","1.3516","1.3588","1.3614","1.3497","-0.53%"
"Jan 02, 2018","1.3588","1.3507","1.3602","1.3500","0.63%"
"Jan 01, 2018","1.3503","1.3515","1.3522","1.3494","-0.09%"
"Dec 29, 2017","1.3515","1.3444","1.3545","1.3428","0.54%"
"Dec 28, 2017","1.3443","1.3397","1.3458","1.3392","0.34%"
"Dec 27, 2017","1.3397","1.3375","1.3431","1.3368","0.17%"
"Dec 26, 2017","1.3374","1.3371","1.3391","1.3347","0.04%"
"Dec 25, 2017","1.3369","1.3357","1.3396","1.3355","0.05%"
"Dec 22, 2017","1.3362","1.3386","1.3399","1.3349","-0.17%"
"Dec 21, 2017","1.3385","1.3376","1.3389","1.3331","0.07%"
"Dec 20, 2017","1.3376","1.3386","1.3422","1.3372","-0.07%"
"Dec 19, 2017","1.3385","1.3382","1.3403","1.3332","0.02%"
"Dec 18, 2017","1.3382","1.3328","1.3420","1.3310","0.46%"
"Dec 15, 2017","1.3321","1.3431","1.3450","1.3302","-0.83%"
"Dec 14, 2017","1.3432","1.3418","1.3463","1.3390","0.09%"
"Dec 13, 2017","1.3420","1.3317","1.3422","1.3311","0.77%"
"Dec 12, 2017","1.3317","1.3339","1.3381","1.3304","-0.16%"
"Dec 11, 2017","1.3339","1.3392","1.3432","1.3331","-0.40%"
"Dec 08, 2017","1.3392","1.3477","1.3521","1.3355","-0.61%"
"Dec 07, 2017","1.3474","1.3391","1.3485","1.3319","0.60%"
"Dec 06, 2017","1.3394","1.3442","1.3449","1.3357","-0.36%"
"Dec 05, 2017","1.3443","1.3479","1.3483","1.3370","-0.27%"
"Dec 04, 2017","1.3479","1.3479","1.3539","1.3417","0.04%"
"Dec 01, 2017","1.3473","1.3525","1.3552","1.3445","-0.39%"
"Nov 30, 2017","1.3526","1.3410","1.3550","1.3405","0.87%"
"Nov 29, 2017","1.3409","1.3340","1.3450","1.3339","0.53%"
"Nov 28, 2017","1.3338","1.3312","1.3388","1.3221","0.15%"
"Nov 27, 2017","1.3318","1.3337","1.3384","1.3310","-0.14%"
"Nov 24, 2017","1.3337","1.3309","1.3361","1.3279","0.20%"
